Field,Data Type,Percentage Available
AGE,float64,100.0
PTGENDER,int64,100.0
PTEDUCAT,int64,100.0
MMSE,float64,100.0
DX,int64,100.0
PLASMA_NFL,float64,100.0
PLASMATAU,float64,99.47916666666666
PLASMA_ratio,float64,99.47916666666666
AB4240,float64,89.0625
ABETA_TAU_ratio,float64,66.14583333333333
TAU,float64,66.14583333333333
ABETA,float64,66.14583333333333
PTAU,float64,65.45138888888889
TAU_PTAU_ratio,float64,65.45138888888889
PTAU_ABETA_ratio,float64,65.45138888888889
AB4240_TAU_ratio,float64,60.06944444444444
