Model,Class,Recall,Precision,F1 Score
CatBoost,SCD,0.7948717948717948,0.8857142857142857,0.8378378378378378
CatBoost,MCI,0.8205128205128205,0.5925925925925926,0.6881720430107527
CatBoost,AD,0.631578947368421,0.8888888888888888,0.7384615384615385
Random Forest,SCD,0.7948717948717948,0.7948717948717948,0.7948717948717948
Random Forest,MCI,0.5384615384615384,0.6363636363636364,0.5833333333333334
Random Forest,AD,0.868421052631579,0.75,0.8048780487804879
Neural Network,SCD,0.8461538461538461,0.8048780487804879,0.825
Neural Network,MCI,0.48717948717948717,0.59375,0.5352112676056338
Neural Network,AD,0.8157894736842105,0.7209302325581395,0.7654320987654321
Voting Ensemble,SCD,0.8717948717948718,0.8947368421052632,0.8831168831168831
Voting Ensemble,MCI,0.6410256410256411,0.6756756756756757,0.6578947368421053
Voting Ensemble,AD,0.8157894736842105,0.7560975609756098,0.7848101265822784
